Projection1,Max_force,Set_Dim_A,Set_Dim_B,Set_Dim_C
0.5143,1147,0.5219,0.5171,0.516
0.5371,1503,0.5092,0.5242,0.5294
0.5418,1816,0.5244,0.5215,0.5301
0.5246,1394,0.5123,0.516,0.5196
0.5436,1043,0.5206,0.5349,0.5383
0.5363,1639,0.5132,0.5192,0.5262
0.5183,810,0.5299,0.5186,0.5187
0.5205,1115,0.5142,0.5324,0.5271
0.5174,1067,0.5189,0.5249,0.5216
0.5248,1044,0.5235,0.5061,0.5143
0.5304,819,0.5157,0.5311,0.5305
0.5283,1972,0.5078,0.5125,0.519
0.5009,866,0.5162,0.5136,0.5083
0.5424,971,0.5243,0.5191,0.529
0.5357,999,0.5184,0.5029,0.5169
0.5254,1069,0.5117,0.5236,0.5241
0.5426,678,0.5239,0.5076,0.5226
0.5229,815,0.5174,0.5047,0.5126
0.5136,1305,0.5134,0.516,0.515
0.5225,1151,0.5301,0.509,0.5151
0.5337,1660,0.5337,0.522,0.5271
0.5095,1323,0.524,0.5122,0.5113
0.5652,1194,0.5175,0.4987,0.527
0.5503,1013,0.5222,0.4984,0.5206
0.5193,1172,0.519,0.5092,0.5136
0.5292,846,0.5259,0.5086,0.5176
0.5102,848,0.5208,0.505,0.5075
0.526,484,0.5178,0.5104,0.5171
0.5279,560,0.5273,0.5243,0.5259
0.5339,888,0.526,0.5074,0.5188
0.5299,973,0.5228,0.4997,0.5128
0.5151,1045,0.5167,0.5032,0.5085
0.5539,819,0.5195,0.5034,0.5249
0.4948,969,0.5164,0.5327,0.5165
0.549,1797,0.5323,0.5235,0.5344
0.5446,1079,0.5259,0.4962,0.5171
0.4934,1468,0.52,0.5152,0.5062
0.5231,793,0.5274,0.5103,0.516
0.5335,399,0.5153,0.5083,0.519
0.5247,590,0.5183,0.5194,0.5216
0.5372,680,0.5158,0.5156,0.5247
0.4933,1052,0.5299,0.5452,0.5232
0.5032,507,0.5234,0.5163,0.5109
0.5272,499,0.5278,0.5278,0.5276
0.5075,596,0.5195,0.5353,0.5234
0.51,876,0.5249,0.5173,0.5144
0.523,972,0.5298,0.5345,0.5296
0.4911,1266,0.5275,0.5476,0.5235
0.511,764,0.5325,0.5192,0.516
0.5133,721,0.5267,0.5206,0.5176
0.5047,941,0.5325,0.5183,0.5129
0.4954,1042,0.5272,0.5467,0.5248
0.5148,1064,0.5248,0.5468,0.533
0.5276,742,0.5272,0.5359,0.5322
0.5135,1154,0.5228,0.5318,0.5239
0.5244,812,0.5346,0.5187,0.5214
0.5083,1071,0.5334,0.5156,0.5129
0.5059,714,0.5201,0.508,0.5073
0.4944,1475,0.5342,0.5399,0.5207
0.5089,771,0.522,0.5109,0.5103
0.5003,557,0.5311,0.5447,0.5258
0.5104,600,0.5177,0.5052,0.5076
0.5202,727,0.5142,0.5314,0.5264
0.5164,1476,0.5334,0.5456,0.5331
0.5029,604,0.5278,0.5154,0.5104
0.499,855,0.5397,0.5423,0.5241
0.511,618,0.5233,0.5195,0.516
0.4975,990,0.523,0.5177,0.5093
0.512,456,0.5161,0.5117,0.5119
0.503,1260,0.527,0.5444,0.5267
0.5069,953,0.5253,0.5161,0.5124
0.5001,832,0.5312,0.539,0.5225
0.4995,387,0.4851,0.5035,0.5015
0.5019,873,0.53,0.5169,0.5109
0.5271,709,0.5265,0.5349,0.5315
0.5323,1240,0.5182,0.5347,0.5333
0.521,898,0.5266,0.5096,0.5147
0.492,1151,0.5302,0.5338,0.5162
0.5023,1606,0.5096,0.5003,0.5013
0.5151,1776,0.5248,0.5346,0.5262
0.4708,1521,0.5113,0.505,0.4908
0.5069,802,0.5346,0.5316,0.5213
0.4816,1268,0.52,0.5368,0.5133
0.5099,1154,0.5025,0.5189,0.5148
0.5032,1677,0.5315,0.5404,0.5247
0.5131,1272,0.5249,0.5452,0.5313
0.5042,1245,0.5128,0.4982,0.501
0.4851,812,0.5211,0.5255,0.5084
0.5166,605,0.523,0.5233,0.5205
0.4994,714,0.5172,0.5163,0.5092
0.5095,925,0.5228,0.5138,0.5122
0.5423,1695,0.5313,0.5262,0.533
0.4824,963,0.5164,0.5294,0.5095
0.5131,487,0.5183,0.5098,0.5113
0.5033,1199,0.5227,0.5303,0.5189
0.4811,698,0.5214,0.5312,0.51
0.5299,655,0.525,0.5091,0.5181
0.4901,798,0.5225,0.5195,0.5072
0.5032,634,0.5215,0.5364,0.5222
0.5266,676,0.5125,0.5308,0.5287
